Sharing_ID,Source_ID,Category,ChatGPT_Title,ChatGPT_Model,NumberOfPrompts,end_prompt_emotion,end_answer_emotion
SHARE_2,PullRequest_2,PullRequest,Gnina Readme for PLEX,Default,6.0,caution,satisfaction
SHARE_3,PullRequest_3,PullRequest,ScreenTime Tracker Algorithm,Default,4.0,satisfaction,satisfaction
SHARE_4,PullRequest_4,PullRequest,New chat,Default,1.0,frustration,neutral
SHARE_5,PullRequest_4,PullRequest,String to French,Default,9.0,neutral,satisfaction
SHARE_6,PullRequest_4,PullRequest,Traduction en français,Default,2.0,frustration,neutral
SHARE_7,PullRequest_4,PullRequest,Traduction française.,Default,7.0,frustration,satisfaction
SHARE_8,PullRequest_5,PullRequest,Vue 2 Filter Router Query,Default,2.0,neutral,satisfaction
SHARE_9,PullRequest_6,PullRequest,New chat,Default,1.0,frustration,neutral
SHARE_10,PullRequest_6,PullRequest,Convert to Arabic,Default,10.0,frustration,neutral
SHARE_11,PullRequest_6,PullRequest,ترجمة للعربية,Default,7.0,frustration,neutral
SHARE_16,PullRequest_9,PullRequest,Translate to Somali.,Default,8.0,frustration,satisfaction
SHARE_17,PullRequest_9,PullRequest,Translate to Somali.,Default,25.0,neutral,neutral
SHARE_18,PullRequest_10,PullRequest,Nepali Translation Help.,Default,7.0,frustration,neutral
SHARE_19,PullRequest_10,PullRequest,String to Nepali,Default,23.0,frustration,satisfaction
SHARE_22,PullRequest_12,PullRequest,Traducción al español,Default,7.0,frustration,neutral
SHARE_27,PullRequest_17,PullRequest,Simple Git and GitHub.,Default,3.0,neutral,neutral
SHARE_28,PullRequest_18,PullRequest,Image slideshow with `feh`,Default,20.0,caution,satisfaction
SHARE_30,PullRequest_20,PullRequest,TCP Socket Risks,Default,3.0,satisfaction,caution
SHARE_31,PullRequest_21,PullRequest,Spacing issue in markdown,Default,1.0,frustration,satisfaction
SHARE_37,PullRequest_26,PullRequest,Get first 20 rows,Default,3.0,frustration,caution
SHARE_38,PullRequest_27,PullRequest,Android App Icon Variations,Default,4.0,frustration,frustration
SHARE_42,PullRequest_30,PullRequest,[頭像] 預設顏色,Default,7.0,frustration,frustration
SHARE_43,PullRequest_31,PullRequest,libp2p module not found.,Default,4.0,neutral,caution
SHARE_44,PullRequest_32,PullRequest,Check Jira Create Permissions,Default,5.0,frustration,satisfaction
SHARE_45,PullRequest_33,PullRequest,Chore Tracker Revolutionized,Default,2.0,satisfaction,satisfaction
SHARE_46,PullRequest_34,PullRequest,CSS for Modern Webpage,Default,7.0,frustration,satisfaction
SHARE_49,PullRequest_37,PullRequest,Creating AI Library Readme,Default,2.0,satisfaction,satisfaction
SHARE_50,PullRequest_38,PullRequest,Release Automation Script,Default,1.0,satisfaction,satisfaction
SHARE_52,PullRequest_39,PullRequest,Improving File Splitting Models,Default,1.0,satisfaction,satisfaction
SHARE_53,PullRequest_40,PullRequest,과목 모델 정의 방법,Default,3.0,neutral,neutral
SHARE_54,PullRequest_40,PullRequest,New chat,Default,1.0,neutral,neutral
SHARE_56,PullRequest_42,PullRequest,Deep Copy in Python.,Default,1.0,satisfaction,satisfaction
SHARE_57,PullRequest_43,PullRequest,MD5 Path Finding,Default,2.0,frustration,satisfaction
SHARE_58,PullRequest_44,PullRequest,Terraform Provider Documentation Request,Default,9.0,neutral,satisfaction
SHARE_59,PullRequest_45,PullRequest,Servidor de Palabras,Default,2.0,frustration,neutral
SHARE_60,PullRequest_46,PullRequest,CF & Similar Disease Genes,Default,1.0,satisfaction,satisfaction
SHARE_61,PullRequest_47,PullRequest,Prometheus Unit Test Schema,Default,8.0,neutral,satisfaction
SHARE_63,PullRequest_49,PullRequest,JPA Entity 생성자 요구사항,Default,2.0,neutral,satisfaction
SHARE_64,PullRequest_50,PullRequest,Ordered Map with TypeScript,Default,1.0,frustration,satisfaction
SHARE_68,PullRequest_54,PullRequest,Alternative Template Copying.,Default,1.0,neutral,caution
SHARE_70,PullRequest_55,PullRequest,Rename Go files to snake case,Default,22.0,frustration,satisfaction
SHARE_71,PullRequest_56,PullRequest,"Handling ""ValueError: NUL Characters""",Default,1.0,frustration,caution
SHARE_72,PullRequest_57,PullRequest,Build New Image,Default,2.0,neutral,caution
SHARE_77,PullRequest_62,PullRequest,Render localStorage on load,Default,5.0,frustration,frustration
SHARE_78,PullRequest_63,PullRequest,Learn about n8n,Default,4.0,satisfaction,satisfaction
SHARE_80,PullRequest_65,PullRequest,Reorder Columns to: WDS,Default,1.0,neutral,satisfaction
SHARE_82,PullRequest_66,PullRequest,Next.js Link External URLs,Default,1.0,frustration,frustration
SHARE_84,PullRequest_68,PullRequest,Detect StreamElements Account ID or Twitch Loginname,Default,3.0,frustration,satisfaction
SHARE_85,PullRequest_69,PullRequest,Husky Hooks Not Running,Default,2.0,frustration,caution
SHARE_88,PullRequest_71,PullRequest,Unicode String Literal,Default,1.0,frustration,satisfaction
SHARE_92,PullRequest_75,PullRequest,Review Gating Policies,Default,3.0,frustration,caution
SHARE_94,PullRequest_76,PullRequest,Testing Sensitive Log Filtering,Default,1.0,frustration,satisfaction
SHARE_95,PullRequest_77,PullRequest,Kazu,Default,1.0,neutral,satisfaction
SHARE_96,PullRequest_78,PullRequest,Restructuring Code for User,Default,3.0,frustration,satisfaction
SHARE_97,PullRequest_79,PullRequest,Rebase Commits After Mistake,Default,1.0,frustration,satisfaction
SHARE_100,PullRequest_81,PullRequest,処理の統合,Default,1.0,frustration,frustration
SHARE_101,PullRequest_82,PullRequest,TypeScript Interfaces: Yes!,Default,6.0,frustration,satisfaction
SHARE_102,PullRequest_83,PullRequest,Cucumber Instance Creation Optimization,Default,3.0,neutral,satisfaction
SHARE_103,PullRequest_84,PullRequest,Debugging Metal Matrix Multiplication,Default,1.0,frustration,satisfaction
SHARE_106,PullRequest_86,PullRequest,Vue: risks of v-html,Default,1.0,frustration,caution
SHARE_110,PullRequest_90,PullRequest,Create Pick Object,Default,3.0,neutral,satisfaction
SHARE_111,PullRequest_91,PullRequest,PHP File Size Validation,Default,5.0,neutral,frustration
SHARE_112,PullRequest_91,PullRequest,Multi-input String & Radios,Default,21.0,frustration,satisfaction
